Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Q12        TO-92-3-EBC       6190.998mil       5000mil   6190.998mil       5000mil   6190.998mil       5000mil  T          0.00 2N3904         
Q13        TO-92-3-EBC       7145.669mil    4921.26mil   7145.669mil    4921.26mil   7145.669mil    4921.26mil  T          0.00 2N3904         
Q14        TO220A            5866.142mil   8661.418mil   5866.142mil   8661.417mil   5766.142mil   8661.418mil  T          0.00 IRFZ44         
Q_LED_TEST TO-92-3-EBC       3956.693mil   6161.417mil   3956.693mil   6161.417mil   3956.693mil   6161.417mil  T          0.00 2N3904         
R1         RY0R25W           4469.566mil       3800mil   4468.504mil   3799.213mil   4469.566mil    3603.15mil  T         90.00 166            
R2         RY0R25W           4725.472mil   7914.173mil   4724.409mil   7913.386mil   4725.472mil   7717.322mil  T         90.00 100R           
R3         RY0R25W           4554.514mil   7914.173mil   4553.452mil   7913.386mil   4554.514mil   7717.322mil  T         90.00 100R           
R4         RY0R25W           4383.556mil   7914.173mil   4382.493mil   7913.386mil   4383.556mil   7717.322mil  T         90.00 100R           
R5         RY0R25W           4212.598mil   7914.173mil   4211.535mil   7913.386mil   4212.598mil   7717.322mil  T         90.00 100R           
R6         RY0R25W            4285.84mil       3800mil   4284.777mil   3799.213mil    4285.84mil    3603.15mil  T         90.00 1K             
R7         RY0R25W           4233.346mil   4941.733mil   4232.283mil   4940.945mil   4233.346mil   4744.882mil  T         90.00 5.1K           
R8         RY0R25W           4422.322mil   4941.733mil    4421.26mil   4940.945mil   4422.322mil   4744.882mil  T         90.00 250            
R9         RY0R25W             4611.3mil   4941.733mil   4610.236mil   4940.945mil     4611.3mil   4744.882mil  T         90.00 5.1K           
R10        RY0R25W           4800.276mil   4941.733mil   4799.212mil   4940.945mil   4800.276mil   4744.882mil  T         90.00 1.2k           
R11        RY0R25W           4989.252mil   4941.733mil   4988.189mil   4940.945mil   4989.252mil   4744.882mil  T         90.00 1.2k           
R12        RY0R25W           5178.228mil   4941.733mil   5177.165mil   4940.945mil   5178.228mil   4744.882mil  T         90.00 1.2k           
R13        RY0R25W           4102.112mil       3800mil    4101.05mil   3799.213mil   4102.112mil    3603.15mil  T         90.00 5.1K           
R14        RY0R25W           3918.386mil       3800mil   3917.323mil   3799.213mil   3918.386mil    3603.15mil  T         90.00 5.1K           
R15        RY0R25W           6536.496mil   6811.811mil   6535.433mil   6811.024mil   6536.496mil    6614.96mil  T         90.00 250            
R16        RY0R25W            4226.22mil   5798.583mil   4225.157mil   5797.795mil    4226.22mil   5601.732mil  T         90.00 1.2K           
R17        RY0R25W            4446.22mil   5798.583mil   4445.157mil   5797.795mil    4446.22mil   5601.732mil  T         90.00 300            
R18        RY0R25W            4666.22mil   5798.583mil   4665.157mil   5797.795mil    4666.22mil   5601.732mil  T         90.00 1.2K           
R19        RY0R25W            4886.22mil   5798.583mil   4885.157mil   5797.795mil    4886.22mil   5601.732mil  T         90.00 300            
R20        RY0R25W             5103.7mil   5798.583mil   5102.638mil   5797.795mil     5103.7mil   5601.732mil  T         90.00 1K             
R21        RY0R25W             5333.7mil   5798.583mil   5332.638mil   5797.795mil     5333.7mil   5601.732mil  T         90.00 1K             
R22        RY0R25W            5532.56mil   5798.583mil   5531.496mil   5797.795mil    5532.56mil   5601.732mil  T         90.00 400            
R23        RY0R25W            5729.41mil   5798.583mil   5728.346mil   5797.795mil    5729.41mil   5601.732mil  T         90.00 400            
R24        RY0R25W           5934.232mil   5798.583mil   5933.169mil   5797.795mil   5934.232mil   5601.732mil  T         90.00 1.2K           
R25        RY0R25W           6146.732mil   5798.583mil   6145.669mil   5797.795mil   6146.732mil   5601.732mil  T         90.00 300            
R26        RY0R25W           6359.232mil   5798.583mil   6358.169mil   5797.795mil   6359.232mil   5601.732mil  T         90.00 1K             
R27        RY0R25W           6571.732mil   5798.583mil   6570.669mil   5797.795mil   6571.732mil   5601.732mil  T         90.00 400            
R28        RY0R25W            5886.89mil   7638.583mil   5885.827mil   7637.795mil    5886.89mil   7441.732mil  T         90.00 1k             
R29        RY0R25W           6142.796mil   7638.583mil   6141.732mil   7637.795mil   6142.796mil   7441.732mil  T         90.00 400            
SP1        XH3P-2R54-TH      2813.386mil   3267.716mil   2813.386mil   3267.716mil   2713.386mil   3267.716mil  T          0.00                
SP2        XH3P-2R54-TH      3405.512mil   3267.716mil   3405.512mil   3267.716mil   3305.512mil   3267.716mil  T          0.00                
SP3        XH3P-2R54-TH      3974.804mil   3267.716mil   3974.803mil   3267.717mil   3874.804mil   3267.716mil  T          0.00                
TGEN1      ÆÌÍ­Ìõ                7736.22mil   6259.842mil   7776.221mil   5844.842mil    7736.22mil   6259.842mil  T         90.00 T£¿             
TUGEN1     ÆÌÍ­Ìõ               5295.276mil   3208.662mil   5335.276mil   2793.661mil   5295.276mil   3208.662mil  T         90.00 T£¿             
TUVCC1     ÆÌÍ­Ìõ               4744.094mil   3208.662mil   4784.095mil   2793.661mil   4744.094mil   3208.662mil  T         90.00 T£¿             
TVCC1      ÆÌÍ­Ìõ                7736.22mil   5767.716mil   7776.221mil   5352.717mil    7736.22mil   5767.716mil  T         90.00 T£¿             
U1         DIP40             3120.276mil    7425.59mil   2795.276mil   8375.591mil   2795.276mil    8375.59mil  T          0.00 STC15F2K60S2_PDIP40
U2         S8MK+1_L          3090.551mil   5807.086mil   3090.551mil   5807.087mil   2998.032mil   5882.086mil  T          0.00 DS3231MZ+      
V1         TO220A            7677.166mil    5254.33mil   7677.165mil   5254.331mil   7677.166mil    5354.33mil  T        270.00 7805           
Y1         CON7P-2R54-TH     4329.134mil   8681.102mil   4329.134mil   8681.102mil   4029.134mil   8681.102mil  T          0.00 315½ÓÊÕÄ£¿é        
KF1        KF301-5.0-2P      6458.268mil   8681.102mil   6358.268mil   8681.102mil   6558.268mil   8681.102mil  T        180.00 KF301-5.08-2p  
JK2        SRD-C_B           5795.779mil   3920.526mil   6031.999mil   4121.314mil       6032mil   4121.314mil  T        270.00 SRD-05VDC-SL-C 
Q6         TO-92-3-EBC       4536.614mil   6496.063mil   4536.614mil   6496.063mil   4536.614mil   6496.063mil  T          0.00 2N3904         
Q1         TO-92-3-EBC           5159mil       7361mil       5159mil       7361mil       5159mil       7361mil  T          0.00 2N3904         
C3         CE5-6R5X5-1mm     7330.575mil       5516mil   7330.575mil       5516mil    7232.15mil       5516mil  T          0.00 0.33uf         

